año,mes,total,ushuaia,almanza
2021,Septiembre,2551.957,2551.957,0
2021,Octubre, -, -,0
2021,Noviembre,7262.713,7262.713,0
2021,Diciembre,10568.733,10568.733,0
2022,Enero,5115.3,5115.3,0
2022,Febrero,3402.3,3402.3,0
2022,Marzo,5258.5,5258.5,0
2022,Abril,3228.6,3228.6,0
2022,Mayo,881.7,881.7,0
2022,Junio ,6077.8,6077.8,0
2022,Julio,3434.7,3434.7,0
2022,Agosto,1328,1328,0
2022,Septiembre,-,-,0
2022,Octubre,574.2,574.2,0
2022,Noviembre,5519.1,5519.1,0
2022,Diciembre,5046,5046,-
2023,Enero,2737.4,2737.4,-
2023,Febrero,536.4,536.4,-
2023,Marzo,5217.3,5217.3,-
2023,Abril,188.1,188.1,-
2023,Mayo,6932.3,6932.3,-
2023,Junio ,374.1,374.1,-
2023,julio,4224.7,4224.7,-
2023,Agosto,741.1,741.1,-
